id,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state/province/etc?,What is your home city?,What is your highest education level?
1,Yes,Yes,My phone ofc,"""Living with purpose, leaving with meaning.""",Friday,Lark ( I am a morning person),Injera with anything :-) (  it's an Ethiopian soft Traditional bread),Fanta ,Spring,June,chess ,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"1. Code better
2. Application in a real-world scenario
3. How to interpret my analysis better for different audience ",Health Insurance and Nutrition.,28,10,6,Ethiopia,Addis Ketema,Addis Ababa,Bachelor's degree
2,No,Yes,Bible,Every moment is a new beginning!,Saturday,Hummingbird (I am neither a lark nor an owl),Stake,Coffee,Fall,September,Watching football,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"Use R comfortably, start coding confidently, and apply advanced methods to real data",Oncology,1,13,3,USA,MO,St. Louis,Bachelor's degree
3,No,Yes,Bible,"Work hard, Play Hard",Thursday,Lark ( I am a morning person),Ethiopian Cusine-Doro Wot is my favourite,Coffee,Fall,September,Soccer,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"Coding,data analysis in a very great detail",cancer,7,18,6,Ethiopia,Addis Ababa,Addis Ababa,Bachelor's degree
4,Ambivalent,Yes, atmospheric water generator,,Friday,Hummingbird (I am neither a lark nor an owl),Steak Sandwich with chimichurri,Tequila lol Im jk I would say Ginger Ale,Spring,May,Language Learning ,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"All the necessary skill set to be able to handle and interact with biostatisticians as part of a research team, such as improving my R skills and and learn a bit about how to handel complex regression models.",Cancer,3,5,Septemeber,Ethiopia,Addis Ababa,Addis Ababa,Doctoral degree
5,No,Ambivalent,Water,Thanks to God for his indescribable gifts,Saturday,Owl (I am a night person),Chopped meat,Water,Fall,May,Soccer,MPH only,Epidemiology/Biostatistics,SPSS,1,2,0-3 months,"Coding, R Studio, and Analysis",Non communicable disease and quality of healthcare delivery,17,13,5,Ethiopia,Addis Ababa,Addis Ababa,Master's degree
6,No,Yes,Phone Network,Faith over Fear ,Saturday,Owl (I am a night person),Ethiopian food (Enjera+Doro Wot). M mom makes it the best. ,Vanilla Milkshake ,Fall,August,Reading ,MPH only,Epidemiology/Biostatistics,SPSS,2,2,4-6 months,"Being familiar with different databases, choosing the right statistical tool for data analysis, getting more familiar with coding in R and be proficient in data analysis ",Cancer ,7,June 2nd,June ,Ethiopia ,Addis Ababa,Addis Ababa,Bachelor's degree
7,Yes,Yes,Matches,Live every moment to the fullest.,Saturday,Hummingbird (I am neither a lark nor an owl),Pizza,Coffee,Spring,May,Reading,MPH only,Epidemiology/Biostatistics,SPSS,3,3,9 months to 1 year,"I hope to gain an overall greater proficiency in R, learn how to effectively translate statistical results and theories into public health actions, and learn to create more complex data visualizations in R.",Chronic disease prevention and community health,29,1,5,United States,Kansas,Baldwin City,Bachelor's degree
8,No,Yes,Wings,To neglect good is to commit evil.,Thursday,Owl (I am a night person),Guacamole,Water,Spring,December,working-out,MPH/MBA,Epidemiology/Biostatistics,R,3,3,>1 to 2 years,Better understanding of coding,Heart disease,5,6,4,Ethiopia,South,Hawassa,Bachelor's degree
9,Yes,Yes,Solar charged battery,Just start ,Monday,Lark ( I am a morning person),Pasta,Mango smoothie,Spring,June,Running,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,How to apply statistics to real life problems ,Clean energy ,7,17,6,US,MO,St.Louis ,Bachelor's degree
10,Yes,No,Quran,,Monday,Owl (I am a night person),Kitfo,Water,Spring,August,Soccer,MPH only,Epidemiology/Biostatistics,SPSS,3,3,0-3 months,Code,Cardio,1,20,11,Ethiopia,Debub hizboch,Worabe,Bachelor's degree
